Panorama do Mercado de Produto do Brasil - Papo na Arena #52                                        , NA                                                                           , https://www.youtube.com/watch?v=-COtX2uM_Dk       ,                                            ,                                            ,   ,
Velocidade vs. Qualidade e as táticas de growth que [não] funcionam - Papo na Arena #51             , NA                                                                           , https://www.youtube.com/watch?v=794sVRaQjNQ       ,                                            ,                                            ,   ,
Redesign problemático                                                                               , roadmap público e queda das ações: O caso da Sonos - Papo na Arena #49       , NA                                                , https://www.youtube.com/watch?v=w-QhACf3XoQ,                                            ,   ,
Design Engineer - Essa moda vai pegar? 🤨 | Papo na Arena #48                                       , NA                                                                           , https://www.youtube.com/watch?v=5p9TU1_BpCw       ,                                            ,                                            ,   ,
Nossas técnicas de produtividade (sem ligação com AI 😅) | Papo na Arena #47                        , NA                                                                           , https://www.youtube.com/watch?v=Uy5YsbmgKfg       ,                                            ,                                            ,   ,
O presente e o futuro dos produtos de AI e Existe um mundo além das squads? | Papo na Arena #46     , NA                                                                           , https://www.youtube.com/watch?v=kV2j9THFycM       ,                                            ,                                            ,   ,
Claude no Brasil                                                                                    , saídas da Open AI e a Nvidia pega no flagra pirateando - Papo na Arena #45   , NA                                                , https://www.youtube.com/watch?v=PfQ59NhQ2xI,                                            ,   ,
Construindo em público: 1 ano de podcast | Papo na Arena #44                                        , NA                                                                           , https://www.youtube.com/watch?v=JkLdUoW_QsQ       ,                                            ,                                            ,   ,
O novo modelo da Meta                                                                               , Vendas do Ray-Ban bombando e os desafios da Netflix com conteúdos ao vivo ..., NA                                                , https://www.youtube.com/watch?v=cV_bTxTo-Xo,                                            ,   ,
Usando AI                                                                                           , gambiarras e no-code para resolver problemas do dia a dia | Lucas Mattos     , Sr. PM @ Ser...                                   , NA                                         , https://www.youtube.com/watch?v=F9iBjAy1tcw,   ,
A conferência do Figma e as comunidades de design e produto - Papo na Arena #42                     , NA                                                                           , https://www.youtube.com/watch?v=ovZbc1AosZg       ,                                            ,                                            ,   ,
Estratégias de A.I.: integrações                                                                    , modelos e custos - Papo na Arena #41                                         , NA                                                , https://www.youtube.com/watch?v=ZOLQyN6lnxM,                                            ,   ,
Montando e escalando times em startups & aprimorando problem solving | Alice Iglesias Venture Par..., NA                                                                           , https://www.youtube.com/watch?v=A0avmDqj0-U       ,                                            ,                                            ,   ,
Apple Intelligence                                                                                  , WWDC e One More Thing 👀 - Papo na Arena #40                                 , NA                                                , https://www.youtube.com/watch?v=nEfY9IYFWEk,                                            ,   ,
Opiniões fortes                                                                                     , convição e hype na construção de produtos - Papo na Arena #39                , NA                                                , https://www.youtube.com/watch?v=vJc49mxRvig,                                            ,   ,
E quando "falta tempo" para consumir conteúdo? Um giro de notícias no mundo de A.I. - Papo na Are..., NA                                                                           , https://www.youtube.com/watch?v=FK2i6yDW0T0       ,                                            ,                                            ,   ,
Aprendendo sobre pensamento crítico e analítico - Papo na Arena #37                                 , NA                                                                           , https://www.youtube.com/watch?v=jLWibqR_Fwo       ,                                            ,                                            ,   ,
Os lançamentos da OpenAI e do Google - Papo na Arena #36                                            , NA                                                                           , https://www.youtube.com/watch?v=p7EtnWxjGhA       ,                                            ,                                            ,   ,
Cultura                                                                                             , silos                                                                        , aquisições e politicagem - Papo na Arena #35      , NA                                         , https://www.youtube.com/watch?v=ZPP8EXU3ygg,   ,
